# Time-averaged data for fix total
# TimeStep v_etot v_evdw v_etail v_ecoul v_elong v_volume
288500 14276 386.459 -76.2114 1037.67 -992.154 25021.7
288600 14311.6 417.721 -76.2114 1038.11 -992.054 25021.7
288700 14329.5 424.545 -76.2114 1040.3 -991.947 25021.7
288800 14285.3 419.849 -76.2114 1041.86 -992.218 25021.7
288900 14314.2 430.322 -76.2114 1042.64 -991.788 25021.7
289000 14336.4 433.917 -76.2114 1040.06 -991.104 25021.7
289100 14308.8 402.247 -76.2114 1039.57 -991.028 25021.7
289200 14269.1 446.064 -76.2114 1043.27 -991.517 25021.7
289300 14309.9 399.081 -76.2114 1044.18 -991.579 25021.7
289400 14303 442.201 -76.2114 1041.61 -991.628 25021.7
289500 14305.5 450.423 -76.2114 1039.32 -991.515 25021.7
289600 14300.9 433.908 -76.2114 1040.29 -991.981 25021.7
289700 14275.4 433.76 -76.2114 1042.58 -992.032 25021.7
289800 14293.5 451.046 -76.2114 1040.55 -991.422 25021.7
289900 14300.6 439.224 -76.2114 1040.84 -991.485 25021.7
290000 14273.1 426.341 -76.2114 1043 -991.458 25021.7
290100 14311.1 443.168 -76.2114 1041.67 -992.072 25021.7
290200 14238.8 433.461 -76.2114 1042.54 -992.035 25021.7
290300 14353.3 445.395 -76.2114 1041.67 -991.888 25021.7
290400 14292.5 399.141 -76.2114 1042.98 -991.373 25021.7
290500 14338.6 421.596 -76.2114 1041.03 -991.123 25021.7
290600 14286.2 387.952 -76.2114 1041.74 -990.941 25021.7
290700 14326.7 454.966 -76.2114 1039.11 -991.858 25021.7
290800 14285.1 449.993 -76.2114 1040.67 -991.618 25021.7
290900 14275.8 435.199 -76.2114 1038.87 -991.548 25021.7
291000 14285 421.199 -76.2114 1039.88 -991.532 25021.7
291100 14328.3 419.312 -76.2114 1042.32 -991.487 25021.7
291200 14252.5 424.828 -76.2114 1043.39 -991.437 25021.7
291300 14368.8 428.274 -76.2114 1040.38 -991.544 25021.7
291400 14305.1 432.287 -76.2114 1040.98 -991.337 25021.7
291500 14272.2 417.175 -76.2114 1040.3 -990.594 25021.7
291600 14291.1 419.393 -76.2114 1040.24 -991.29 25021.7
291700 14271.9 413.457 -76.2114 1041.17 -991.701 25021.7
291800 14350.8 426.517 -76.2114 1040.68 -991.306 25021.7
291900 14318.2 456.652 -76.2114 1039.77 -991.665 25021.7
292000 14289.2 395.657 -76.2114 1040.72 -991.811 25021.7
292100 14311.3 461.362 -76.2114 1041.92 -991.345 25021.7
292200 14320.2 410.317 -76.2114 1042.8 -991.003 25021.7
292300 14298.9 461.04 -76.2114 1039.21 -991.139 25021.7
292400 14274 422.653 -76.2114 1040.42 -990.703 25021.7
292500 14318.9 447.601 -76.2114 1043.41 -990.984 25021.7
292600 14334.1 412.534 -76.2114 1041.54 -991.786 25021.7
292700 14286.1 443.542 -76.2114 1039.81 -992 25021.7
292800 14308.2 416.943 -76.2114 1039.99 -991.729 25021.7
292900 14337.6 466.435 -76.2114 1037.51 -991.823 25021.7
293000 14341.6 413.677 -76.2114 1037.28 -991.444 25021.7
293100 14291.2 427.729 -76.2114 1039.37 -991.345 25021.7
293200 14253.5 418.273 -76.2114 1041.74 -991.503 25021.7
293300 14275.5 410.381 -76.2114 1042.24 -991.132 25021.7
293400 14328.1 428.093 -76.2114 1042.06 -991.195 25021.7
293500 14285.2 430.31 -76.2114 1042.97 -991.013 25021.7
293600 14258.3 450.812 -76.2114 1041.29 -990.888 25021.7
293700 14319 448.521 -76.2114 1041.17 -991.35 25021.7
293800 14290.2 450.37 -76.2114 1039.98 -991.885 25021.7
293900 14296.1 425.1 -76.2114 1039.11 -992.005 25021.7
294000 14277.5 444.568 -76.2114 1039.73 -992.182 25021.7
294100 14298.5 431.535 -76.2114 1040.21 -992.001 25021.7
294200 14281.1 444.479 -76.2114 1039.45 -992.122 25021.7
294300 14301.4 438.561 -76.2114 1038.32 -992.245 25021.7
294400 14313 437.89 -76.2114 1037.22 -992.241 25021.7
294500 14282.3 420.834 -76.2114 1036.96 -992.034 25021.7
294600 14301.5 448.863 -76.2114 1037.37 -992.45 25021.7
294700 14300.8 405.436 -76.2114 1039.79 -992.312 25021.7
294800 14290.1 426.293 -76.2114 1043.08 -991.653 25021.7
294900 14313.7 413.942 -76.2114 1040.58 -991.393 25021.7
295000 14286.7 436.296 -76.2114 1039.42 -991.626 25021.7
295100 14284.4 428.716 -76.2114 1041.42 -991.918 25021.7
295200 14277 408.532 -76.2114 1042.86 -991.289 25021.7
295300 14284 435.882 -76.2114 1040.61 -991.634 25021.7
295400 14335.1 448.679 -76.2114 1044.74 -991.624 25021.7
295500 14268.4 428.556 -76.2114 1042.74 -991.524 25021.7
295600 14317.7 439.16 -76.2114 1041.23 -992.223 25021.7
295700 14302.1 400.174 -76.2114 1042.72 -991.888 25021.7
295800 14299.3 447.642 -76.2114 1044.21 -992.122 25021.7
295900 14284.4 426.867 -76.2114 1044.02 -991.502 25021.7
296000 14261.2 459.149 -76.2114 1044.89 -991.805 25021.7
296100 14266.9 432.129 -76.2114 1045.21 -991.905 25021.7
296200 14327.1 425.909 -76.2114 1042.7 -992.082 25021.7
296300 14377.5 450.786 -76.2114 1045.28 -992.02 25021.7
296400 14276.4 409.461 -76.2114 1047.12 -991.062 25021.7
296500 14265.9 393.237 -76.2114 1044.21 -991.532 25021.7
296600 14324.9 424.023 -76.2114 1041.44 -992.128 25021.7
296700 14302.8 400.654 -76.2114 1042.48 -992.593 25021.7
296800 14326.3 428.557 -76.2114 1039.12 -992.243 25021.7
296900 14291.7 404.69 -76.2114 1040.1 -992.399 25021.7
297000 14253.3 441.462 -76.2114 1044.18 -991.738 25021.7
297100 14320.1 439.759 -76.2114 1043.27 -991.904 25021.7
297200 14306 418.123 -76.2114 1040.04 -991.564 25021.7
297300 14251.1 438.438 -76.2114 1039.6 -991.641 25021.7
297400 14250.6 439.095 -76.2114 1038.32 -991.998 25021.7
297500 14218.8 430.007 -76.2114 1039.78 -992.413 25021.7
297600 14293.1 421.746 -76.2114 1037.67 -992.168 25021.7
297700 14296.8 426.995 -76.2114 1037.26 -992.329 25021.7
297800 14272.5 407.561 -76.2114 1036.51 -991.822 25021.7
297900 14321.6 423.569 -76.2114 1034.66 -992.162 25021.7
298000 14281.6 427.632 -76.2114 1039.44 -992.338 25021.7
298100 14300.7 428.229 -76.2114 1042.37 -992.214 25021.7
298200 14249.9 427.091 -76.2114 1037.31 -992.061 25021.7
298300 14304.5 423.046 -76.2114 1039.9 -992.017 25021.7
298400 14291.9 441.662 -76.2114 1038.71 -991.484 25021.7
298500 14307.6 410.903 -76.2114 1039 -991.628 25021.7
298600 14246.3 407.881 -76.2114 1039.5 -992.474 25021.7
298700 14315.8 427.686 -76.2114 1041.15 -992.221 25021.7
298800 14317 443.831 -76.2114 1040.1 -992.413 25021.7
298900 14316.5 423.923 -76.2114 1041.21 -991.951 25021.7
299000 14345.6 456.852 -76.2114 1042.75 -992.091 25021.7
299100 14258.1 435.264 -76.2114 1040.86 -991.584 25021.7
299200 14264.9 408.243 -76.2114 1043.05 -991.859 25021.7
299300 14288.3 425.926 -76.2114 1040.8 -992.334 25021.7
299400 14302.3 415.138 -76.2114 1040.25 -992.37 25021.7
299500 14234.7 412.068 -76.2114 1037.05 -992.527 25021.7
299600 14281.6 413.84 -76.2114 1040.98 -992.145 25021.7
299700 14315.6 416.458 -76.2114 1040.78 -992.646 25021.7
299800 14314.6 430.421 -76.2114 1041.85 -992.428 25021.7
299900 14271.7 406.933 -76.2114 1039.23 -992.309 25021.7
300000 14278.3 414.056 -76.2114 1038.4 -992.468 25021.7
300100 14318.2 426.012 -76.2114 1040.09 -992.351 25021.7
300200 14319.9 432.693 -76.2114 1037.48 -992.209 25021.7
300300 14317 425.912 -76.2114 1037.54 -992.53 25021.7
300400 14328.8 412.938 -76.2114 1038.65 -992.22 25021.7
300500 14322.5 426.282 -76.2114 1040.01 -992.265 25021.7
